X1 X2 Y h0
35 78 0 1
30 44 0 1
36 73 0 1
60 86 1 1
79 75 1 1
45 56 0 1
61 97 1 1
75 47 1 1
76 87 1 1
84 44 1 1
96 38 0 1
75 31 0 1
82 76 1 1
69 98 1 1
40 76 0 1
54 89 1 1
69 53 1 1
68 47 0 1
71 93 1 1
77 48 1 1
67 43 0 1
90 66 1 1
51 49 0 1
34 44 0 1
78 69 1 1
62 70 1 1
80 45 1 1
93 39 0 1
62 50 0 1
39 65 0 1
61 73 1 1
85 57 1 1
52 63 0 1
52 69 1 1
40 71 0 1
55 52 0 1
34 99 0 1
64 81 1 1
75 42 0 1
34 75 0 1
84 56 1 1
52 47 0 1
94 66 1 1
82 41 0 1
51 46 0 1
62 52 0 1
77 70 1 1
98 87 1 1
62 97 1 1
92 89 1 1
80 74 1 1
99 61 1 1
91 43 1 1
35 60 0 1
50 50 0 1
50 60 0 1
98 69 1 1
33 96 0 1
74 70 1 1
72 78 1 1
75 86 1 1
35 47 0 1
56 39 0 1
30 50 0 1
45 66 0 1
67 41 0 1
40 98 1 1
49 52 0 1
80 92 1 1
67 61 1 1
33 43 0 1
64 78 1 1
72 96 1 1
60 73 1 1
59 76 1 1
100 72 1 1
47 88 1 1
50 76 1 1
60 43 0 1
82 43 0 1
89 70 1 1
95 46 1 1
67 67 1 1
57 60 1 1
80 91 1 1
68 86 1 1
42 79 0 1
75 90 1 1
79 97 1 1
52 61 0 1
94 77 1 1
90 88 1 1
55 36 0 1
74 85 1 1
90 45 1 1
83 48 1 1
42 87 1 1
99 69 1 1
55 65 1 1
75 90 1 1
